identifier.ppn	type	date.issued	title	part	title.alternative	identifier.isbn	contributor.primary	contributor.other	identifier.pi	rights	publisher	language.iso	subject.jel	description.version	seriesname	relation.ispartofseries	journalname	relation.ispartof	url	description.abstract	subject.ddc	subject.keyword
1737653109	b	2019	Innovation in Polish enterprises over the period of 2008-2016				Sadłowski, Adam	Stępkowski, Paweł	10.29015/ceejme.803			eng					Central and eastern european journal of management and economics	(DE-627)832586013|(DE-600)2830238-2|(DE-576)442993692	http://ceejme.eu/wp-content/uploads/2019/04/ceejme_1_9_art_09.pdf			
173765069X	b	2019	The importance of the type of accounting records from the perspective of company's tax policy				Talik, Wioletta		10.29015/ceejme.793			eng					Central and eastern european journal of management and economics	(DE-627)832586013|(DE-600)2830238-2|(DE-576)442993692	http://ceejme.eu/wp-content/uploads/2019/04/ceejme_1_9_art_08.pdf			
1737650533	b	2019	Socially responsible territories : selected issues				Małgorzata, Kmak		10.29015/ceejme.618			eng					Central and eastern european journal of management and economics	(DE-627)832586013|(DE-600)2830238-2|(DE-576)442993692	http://ceejme.eu/wp-content/uploads/2019/03/ceejme_1_9_art_07.pdf			
1737650304	b	2019	Debt of Polish local governments and assuming its supplies in the years 2011-2017				Ostachowski, Paweł		10.29015/ceejme.733			eng					Central and eastern european journal of management and economics	(DE-627)832586013|(DE-600)2830238-2|(DE-576)442993692	http://ceejme.eu/wp-content/uploads/2019/03/ceejme_1_9_art_06.pdf			
1737650169	b	2019	Analysis of management as exemplified by the Municipalities of Cracow, Łódź and Wrocław in 2010-2016				Kostrzewska-Obertaniec, Malwina		10.29015/ceejme.776			eng					Central and eastern european journal of management and economics	(DE-627)832586013|(DE-600)2830238-2|(DE-576)442993692	http://ceejme.eu/wp-content/uploads/2019/03/ceejme_1_9_art_05.pdf			
1737649853	b	2019	Selected problems and development prospects of local government units' accounting				Rogozina, Svetlana		10.29015/ceejme.618			eng					Central and eastern european journal of management and economics	(DE-627)832586013|(DE-600)2830238-2|(DE-576)442993692	http://ceejme.eu/wp-content/uploads/2019/03/ceejme_1_9_art_04.pdf			
1737649594	b	2019	Referring commune's resident to social welfare home as commune's direct responsibility : selected issues				Drelichowska, Angelika		10.29015/ceejme.775			eng					Central and eastern european journal of management and economics	(DE-627)832586013|(DE-600)2830238-2|(DE-576)442993692	http://ceejme.eu/wp-content/uploads/2019/03/ceejme_1_9_art_03.pdf			
1737649373	b	2019	Utilization of it achievements by local self-government units as a way to increase public participation in governance				Ciesielski, Jarosław		10.29015/ceejme.774			eng					Central and eastern european journal of management and economics	(DE-627)832586013|(DE-600)2830238-2|(DE-576)442993692	http://ceejme.eu/wp-content/uploads/2019/03/ceejme_1_9_art_02.pdf			
1737649209	b	2019	Conceptualization of product development model based on use function evolution				Filipowicz, Paweł		10.29015/ceejme.592			eng					Central and eastern european journal of management and economics	(DE-627)832586013|(DE-600)2830238-2|(DE-576)442993692	http://ceejme.eu/wp-content/uploads/2019/03/ceejme_1_9_art_01.pdf			
1737676400	b	2019	Value Added Tax (VAT) and rules of settlement occording to amendment the law of VAT : selected issues				Talik, Wioletta		10.29015/ceejme.799			eng					Central and eastern european journal of management and economics	(DE-627)832586013|(DE-600)2830238-2|(DE-576)442993692	http://ceejme.eu/wp-content/uploads/2019/06/ceejme_2_9_art_05.pdf			
1737676214	b	2019	Research and development activity in Poland following the accession to the European Union (in the years 2004-2017)				Sadłowski, Adam	Stępkowski, Paweł	10.29015/ceejme.823			eng					Central and eastern european journal of management and economics	(DE-627)832586013|(DE-600)2830238-2|(DE-576)442993692	http://ceejme.eu/wp-content/uploads/2019/06/ceejme_2_9_art_04.pdf			
1737676001	b	2019	Logistic processes in non-governmental organisations and their impact on the activity of entities in the Third Sector in Poland				Kyć, Grzegorz		10.29015/ceejme.822			eng					Central and eastern european journal of management and economics	(DE-627)832586013|(DE-600)2830238-2|(DE-576)442993692	http://ceejme.eu/wp-content/uploads/2019/06/ceejme_2_9_art_03.pdf			
173767565X	b	2019	Application of selection techniques of optimal planning and evaluation of a system layout in virtual environment				Dubel, Anna	Stryhunivska, Olena	10.29015/ceejme.559			eng					Central and eastern european journal of management and economics	(DE-627)832586013|(DE-600)2830238-2|(DE-576)442993692	http://ceejme.eu/wp-content/uploads/2019/06/ceejme_2_9_art_02.pdf			
1737675021	b	2019	Multidimensional organizational climate measurement inventory MOCMI : verification of author's climate model and validation and validation of the tool				Wudarzewski, Grzegorz		10.29015/ceejme.619			eng					Central and eastern european journal of management and economics	(DE-627)832586013|(DE-600)2830238-2|(DE-576)442993692	http://ceejme.eu/wp-content/uploads/2019/06/ceejme_2_9_art_01.pdf			
