identifier.ppn	type	date.issued	title	part	title.alternative	identifier.isbn	contributor.primary	contributor.other	identifier.pi	rights	publisher	language.iso	subject.jel	description.version	seriesname	relation.ispartofseries	journalname	relation.ispartof	url	description.abstract
1728108241	b	2020	IFRS adoption, corporate governance and timeliness of financial reports among Nigerian listed firms				Ologun, Olubunmi Veronica	Isenmila, Patience Amechi|Omokhudu, Okuns|Alade, Muyiwa Ezekiel				eng					Accounting and taxation review	(DE-627)1684903025|(DE-600)3002831-0	https://www.atreview.org/admin/12389900798187/ATR%204_2_%2033-56.pdf	
172810792X	b	2020	Perceived job insecurity and task performance among bank employees in Nigeria banking industry				Adewale, A. Adekiya	Dahiru, Idris|Aliyu, Mukhtar Shehu|Kofar-Mata, Bala Ado				eng					Accounting and taxation review	(DE-627)1684903025|(DE-600)3002831-0	https://www.atreview.org/admin/12389900798187/ATR%204_2_%2013-32.pdf	
1728107113	b	2020	Banks' marketing strategies and deposit mobilisation : a study of selected commercial banks in Nigeria				Osuala, A. E.	Uruakpa, N. I.|Onoh, U. A.				eng					Accounting and taxation review	(DE-627)1684903025|(DE-600)3002831-0	https://www.atreview.org/admin/12389900798187/ATR%204_2_%201-12pdf2.pdf	
1728105366	b	2020	The collaborative economy through the lens of sustainable tourism : a regional-centric view				Treapăt, Laurenţiu-Mihai	Stan, Sergiu Octavian|Vițelar, Alexandra|Anghel, Lucian	10.2478/mdke-2020-0013			eng					Management dynamics in the knowledge economy	(DE-627)823675920|(DE-600)2819566-8|(DE-576)429990952	http://www.managementdynamics.ro/index.php/journal/article/download/359/304	
1728098580	b	2020	Some methodological problems of improving the effectiveness of the management of innovative enterprises				Aliyev, Alovsat G.		10.2478/mdke-2020-0012			eng					Management dynamics in the knowledge economy	(DE-627)823675920|(DE-600)2819566-8|(DE-576)429990952	http://www.managementdynamics.ro/index.php/journal/article/download/355/300	
1728097991	b	2020	Macroeconomic factors and capital markets : selected experiences in Central and Eastern Europe				Nicolescu, Luminița		10.2478/mdke-2020-0011			eng					Management dynamics in the knowledge economy	(DE-627)823675920|(DE-600)2819566-8|(DE-576)429990952	http://www.managementdynamics.ro/index.php/journal/article/download/343/298	
1728097193	b	2020	Knowledge dynamics in family businesses				Motoc, Adrian		10.2478/mdke-2020-0010			eng					Management dynamics in the knowledge economy	(DE-627)823675920|(DE-600)2819566-8|(DE-576)429990952	http://www.managementdynamics.ro/index.php/journal/article/download/358/303	
1728095123	b	2020	Effects of tacit knowledge on the performance of selected universities in Kenya				Murumba, Joan Wakasa	Kwanya, Tom|Maina, Jane Cherono	10.2478/mdke-2020-0009			eng					Management dynamics in the knowledge economy	(DE-627)823675920|(DE-600)2819566-8|(DE-576)429990952	http://www.managementdynamics.ro/index.php/journal/article/download/356/301	
1728093732	b	2020	Intergenerational learning : a topic of discussion or a reality? : taking a closer look at the academics				Leon, Ramona-Diana		10.2478/mdke-2020-0008			eng					Management dynamics in the knowledge economy	(DE-627)823675920|(DE-600)2819566-8|(DE-576)429990952	http://www.managementdynamics.ro/index.php/journal/article/download/357/302	
1727920562	b	2020	The influence of employee self-efficacy, outcome expectation and firm resources on intrapreneurial behaviour : insight from Ghana				Afriyie, Nina	Melyoki, Lemayon L.|Nchimbi, Mariam	10.30958/ajbe.6-4-4			eng					Athens journal of business & economics	(DE-627)85561451X|(DE-600)2851008-2|(DE-576)462896099	https://www.athensjournals.gr/business/2020-6-4-4-Afriyie.pdf	
1727911547	b	2020	The Lebanese students’ awareness on the concept of corporate social responsibility				Am, Aline Al		10.30958/ajbe.6-4-3			eng					Athens journal of business & economics	(DE-627)85561451X|(DE-600)2851008-2|(DE-576)462896099	https://www.athensjournals.gr/business/2020-6-4-3-Al-Am.pdf	
1727911210	b	2020	The working poor facing the great recession in Southern Europe				Sommeiller, Estelle					eng					Athens journal of business & economics	(DE-627)85561451X|(DE-600)2851008-2|(DE-576)462896099	https://www.athensjournals.gr/business/2020-6-4-2-Sommeiller.pdf	
1727894197	b	2020	Threats to auditor independence : evidence from Iran				Fashami, Ashkan Mirzay	Boolaky, Pran Krishansing|Omoteso, Kamil	10.30958/ajbe.6-4-1			eng					Athens journal of business & economics	(DE-627)85561451X|(DE-600)2851008-2|(DE-576)462896099	https://www.athensjournals.gr/business/2020-6-4-1-Fashami.pdf	
