identifier.ppn	type	date.issued	title	part	title.alternative	identifier.isbn	contributor.author	contributor.other	identifier.pi	rights	publisher	language.iso	subject.jel	description.version	seriesname	relation.ispartofseries	journalname	relation.ispartof	identifier.url	seriesNo	repecFulltextUrl	description.abstract
720714184	m	2010	Foreign acquisitions, domestic multinationals, and R&D				Bandick, Roger	Görg, Holger|Karpaty, Patrik	10419/60323		London : Centre for Economic Policy Research	eng	F23		Discussion paper series / Centre for Economic Policy Research. International trade and regional economics	(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9			http://www.cepr.org/pubs/new-dps/dplist.asp?dpno=8081|http://hdl.handle.net/10419/60323	60323	https://repec.cepr.org/repec/cpr/ceprdp/DP60323.pdf	The aim of this paper is to evaluate the causal effect of foreign acquisition on R&D intensity in targeted domestic firms. We are able to distinguish domestic multinationals and non-multinationals, which allows us to investigate the fear that the change in ownership of domestic to foreign multinationals leads to a reduction in R&D activity in the country, as headquarter activities are relocated to the new owner's home country. We use unique and rich firm level data for the Swedish manufacturing sector and different micro-econometric estimation strategies in order to control for the potential endogeneity of the acquisition dummy. Overall, our results give no support to the fears that foreign acquisition of domestic firms lead to a brain drain of R&D activity in Swedish MNEs. Rather, this paper finds robust evidence that foreign acquisitions lead to increasing R&D intensity in acquired domestic MNEs and non-MNEs. -- domestic multinationals ; foreign acquisition ; R&D
720712726	m	2011	Hyperbolic discounting and positive optimal inflation				Graham, Liam	Snower, Dennis J.	10419/60322		London : Centre for Economic Policy Research	eng	E20|E40|E50		Discussion paper series / Centre for Economic Policy Research. Labour economics	(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9			http://www.cepr.org/pubs/new-dps/dplist.asp?dpno=8390|http://hdl.handle.net/10419/60322	60322	https://repec.cepr.org/repec/cpr/ceprdp/DP60322.pdf	The Friedman rule states that steady-state welfare is maximized when there is deflation at the real rate of interest. Recent work by Khan et al. (2003) uses a richer model but still finds deflation optimal. In an otherwise standard new Keynesian model we show that, if households have hyperbolic discounting, small positive rates of inflation can be optimal. In our baseline calibration, the optimal rate of inflation is 2.1% and remains positive across a wide range of calibrations. -- inflation targeting ; monetary policy ; nominal inertia ; optimal monetary policy ; Phillips curve and unemployment
782486339	m	2013	The political economy of trade and migration : evidence from the US Congress ; conference paper					Conconi, Paola|Facchini, Giovanni|Steinhardt, Max Friedrich|Zanardi, Maurizio	10419/79961		[Kiel : Hamburg] : ZBW	eng	F22|J61		Beiträge zur Jahrestagung des Vereins für Socialpolitik 2013: Wettbewerbspolitik und Regulierung in einer globalen Wirtschaftsordnung. A12, Session: Empirical public choice. CEPR discussion paper	(DE-627)781990505|(DE-576)9781990503|(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9			http://hdl.handle.net/10419/79961|http://epub.sub.uni-hamburg.de/epub/volltexte/einzelplatz/2015/40708	40708	https://repec.cepr.org/repec/cpr/ceprdp/DP40708.pdf	Over the last decades, the United States has become increasingly integrated in the world economy. Very low trade barriers and comparatively liberal migration policies have made these developments possible. What drove US congressmen to support the recent wave of globalization? While much of the literature has emphasized the differences that exist between the political economy of trade and migration, in this paper we find that important similarities should not be overlooked. In particular, our analysis of congressional voting between 1970 and 2006 suggests that economic drivers that work through the labor market play an important role in shaping representatives' behavior on both types of policies. Representatives from more skilled-labor abundant districts are more likely to support both trade liberalization and a more open stance vis-a-vis unskilled immigration. Still, important systematic differences exist: welfare state considerations and network effects have an impact on the support for immigration liberalization, but not for trade; Democratic lawmakers are systematically more likely to support a more open migration stance than their Republican counterparts, and the opposite is true for trade liberalization.
859849643	m	2014	Urban spatial structure, employment and social ties				Picard, Pierre M.	Zenou, Yves	10419/124817		[Louvain-la-Neuve] : European Regional Science Association	eng	A14|J15|R14|Z13		World renaissance : changing roles for people and places : programme and list of participations : ERSA 55th Congress : in conjunction with the 21th APDR Congress : 25-28 August 2015 - Lisbon, Portugal / Regional Science Association International; Lisbon School of Economics & Management, Universidade de Lisboa; Associação Portuguesa papa o Desenvolvimento Regional. Discussion paper series / Centre for Economic Policy Research. Labour economics	(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9			http://hdl.handle.net/10419/124817	24817	https://repec.cepr.org/repec/cpr/ceprdp/DP24817.pdf	We develop a model where workers both choose their residential location (geographical space) and social interactions (social space). In equilibrium, we show under which condition the majority group resides close to the job center while the minority group lives far away from it. Even though the two populations are ex ante totally identical, we find that the majority group experiences a lower unemployment rate than the minority group and tends to socially interact more with other workers of its own group. Within each group, we demonstrate that workers residing farther away from the job center tend to search less for a job and are less likely to be employed. This model is thus able to explain why ethnic minorities are segregated in the urban and social space and why this leads to adverse labor-market outcomes in the absence of any discrimination against the minority group.
1656165651	m	2015	The Berlin stock exchange in imperial Germany : a market for new technology?				Lehmann-Hasemeyer, Sibylle H.	Streb, Jochen			London : CEPR	eng			Discussion paper / CEPR	(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9			http://www.cepr.org/active/publications/discussion_papers/dp.php?dpno=10558	10558	https://repec.cepr.org/repec/cpr/ceprdp/DP10558.pdf	
1657880249	m	2016	Sociocultural background and choice of STEM majors at university				Grossmann, Volker	Osikominu, Aderonke|Osterfeld, Marius			London : Centre for Economic Policy Research	eng			Discussion paper / CEPR	(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9			https://cepr.org/active/publications/discussion_papers/dp.php?dpno=11250?dpno=11250	11250	https://repec.cepr.org/repec/cpr/ceprdp/DP11250.pdf	
1657880079	m	2016	Quality leisure time and youth development				Fuchs, Benjamin	Osikominu, Aderonke			London : Centre for Economic Policy Research	eng			Discussion paper / CEPR	(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9			https://cepr.org/active/publications/discussion_papers/dp.php?dpno=11330	11330	https://repec.cepr.org/repec/cpr/ceprdp/DP11330.pdf	
1657257851	m	2017	Local food prices and international price transmission				Bekkers, Eddy	Brockmeier, Martina|Yang, Fan			London : Centre for Economic Policy Research	eng			Discussion paper / CEPR	(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9			http://cepr.org/active/publications/discussion_papers/download.php?dpno=11912	11912	https://repec.cepr.org/repec/cpr/ceprdp/DP11912.pdf	
103763943X	m	2018	The political impact of immigration : evidence from the United States				Mayda, Anna Maria	Peri, Giovanni|Steingress, Walter			London : Centre for Economic Policy Research	eng			Discussion paper series / Centre for Economic Policy Research. International trade and regional economics and labour economics. Working papers / Georgetown University, Department of Economics	(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9|(DE-627)486723038|(DE-576)281276145|(DE-600)2187453-0			https://EconPapers.repec.org/RePEc:geo:guwopa:gueconwpa~18-18-09|https://drive.google.com/file/d/1l4-SxlH7yXu8N5nD_dj83H8TJyI3y4Y6/view|https://cepr.org/active/publications/discussion_papers/dp.php?dpno=12848	12848	https://repec.cepr.org/repec/cpr/ceprdp/DP12848.pdf	
1668807742	m	2019	Well-being, political decentralisation and governance quality in Europe				Rodríguez-Pose, Andrés	Tselios, Vassilis			London : Centre for Economic Policy Research	eng			Discussion paper series / Centre for Economic Policy Research. International trade and regional economics	(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9			https://cepr.org/active/publications/discussion_papers/dp.php?dpno=13423|https://cepr.org/active/publications/discussion_papers/download.php?dpno=13423	13423	https://repec.cepr.org/repec/cpr/ceprdp/DP13423.pdf	
