identifier.ppn	type	date.issued	title	part	title.alternative	identifier.isbn	contributor.primary	contributor.other	identifier.pi	rights	publisher	language.iso	subject.jel	description.version	seriesname	relation.ispartofseries	journalname	relation.ispartof	url	description.abstract	subject.ddc	subject.keyword
177562319X	m	2021	"Economic and social development : 73rd International Scientific Conference on Economic and Social Development - ""Sustainable Tourism in Post-pandemic World"" : book of proceedings : Dubrovnik, 21-22 October, 2021"					Baracskai, Zoltan|Vukovic, Dijana|Janjusevic, Jelena			Varazdin, Croatia : Varazdin Development and Entrepreneurship Agency	eng				(DE-627)1730492479			https://www.esd-conference.com/upload/book_of_proceedings/Book_of_Proceedings_esdDubrovnik2021_Online.pdf			
1775546020	m	2021	Beyond the traditional unemployment rate during Covid-19 in Lithuania				Garcia-Louzao, Jose	Vėlyvis, Kristijonas			Vilnius : Lietuvos Bankas	eng			Occasional paper series / Lietuvos Bankas	(DE-627)898126010|(DE-576)493578153|(DE-600)2905831-4			https://www.lb.lt/uploads/publications/docs/33298_c9f4c21cf2731f213be75c49b1cd574a.pdf			
1775544648	m	2021	A journey of evaluation and impact measurement - accounts of setting up a monitoring and evaluation framework in a Romanian social economy organisation			9782931051528	Opincaru, Irina Sinziana		10.25518/ciriec.wp202105		Liège (Belgium) : CIRIEC International, Université de Liège	eng			Working paper / CIRIEC	(DE-627)635679337|(DE-576)330694103|(DE-600)2575017-3			https://www.ciriec.uliege.be/wp-content/uploads/2021/10/WP2021-05.pdf			
1775530930	m	2021	Kompetanseutvikling under Covid-19			9788258713873	Andresen, Sophia Mai Howard	Grendal, Ola Nestvold|Keute, Anna Lena			[Oslo] : Statistisk sentralbyrå	nor			Rapporter / Statistisk sentralbyrå	(DE-627)1740232453			https://www.ssb.no/utdanning/voksenopplaering/artikler/kompetanseutvikling-under-covid-19/_/attachment/inline/0f65bb6d-2a8f-4984-bf32-8087026ef88c:4529978f02ea74d5a53251aed8af22227be1b55c/RAPP2021-25.pdf			
1775503895	b	2021	Improving Wealth Management Strategies Through the Use of Reinforcement Learning Based Algorithms. A Study on the Romanian Stock Market				Radu, Stefan-Constantin	Anghel, Lucian Claudiu|Ermiș, Ioana Simona	10.2478/mdke-2021-0027			eng					Management dynamics in the knowledge economy	(DE-627)823675920|(DE-600)2819566-8|(DE-576)429990952	http://www.managementdynamics.ro/index.php/journal/article/download/427/379			
1775503801	b	2021	Teleworking, team work and transactive memory during the COVID-19 outbreak				Andrei, Ana-Maria		10.2478/mdke-2021-0026			eng					Management dynamics in the knowledge economy	(DE-627)823675920|(DE-600)2819566-8|(DE-576)429990952	http://www.managementdynamics.ro/index.php/journal/article/download/423/375			
1775503615	b	2021	Conceptual atlas of the knowmad literature : visual mapping with VOSviewer				Iliescu, Andra Nicoleta		10.2478/mdke-2021-0025			eng					Management dynamics in the knowledge economy	(DE-627)823675920|(DE-600)2819566-8|(DE-576)429990952	http://www.managementdynamics.ro/index.php/journal/article/download/425/377			
1775503542	b	2021	Cultural intelligence as a core competence of inclusive leadership				Paiuc, Dan		10.2478/mdke-2021-0024			eng					Management dynamics in the knowledge economy	(DE-627)823675920|(DE-600)2819566-8|(DE-576)429990952	http://www.managementdynamics.ro/index.php/journal/article/download/426/378			
1775503445	b	2021	Workers' satisfaction with grievance-handling procedure : a study on the selected garment factories in Bangladesh				Aktar, Serena	ul Alam, Md. Mahbub	10.2478/mdke-2021-00023			eng					Management dynamics in the knowledge economy	(DE-627)823675920|(DE-600)2819566-8|(DE-576)429990952	http://www.managementdynamics.ro/index.php/journal/article/download/396/372			
1775502902	b	2021	Determinants of financing obstacles of SMEs in Western Balkans				Gashi Ahmeti, Hana	Fetai, Besnik	10.2478/mdke-2021-0022			eng					Management dynamics in the knowledge economy	(DE-627)823675920|(DE-600)2819566-8|(DE-576)429990952	http://www.managementdynamics.ro/index.php/journal/article/download/424/376			
