identifier.ppn	type	date.issued	title	part	title.alternative	identifier.isbn	contributor.primary	contributor.other	identifier.pi	rights	publisher	language.iso	subject.jel	description.version	seriesname	relation.ispartofseries	journalname	relation.ispartof	url					description.abstract	subject.ddc	subject.keyword
1780538960	m	2022	Grundsicherung weiterdenken			9783839455944		Blank, Florian|Schäfer, Claus|Spannagel, Dorothee	10.14361/9783839455944		Bielefeld : transcript Verlag	ger			Forschung aus der Hans-Böckler-Stiftung. Transformationen im Wohlfahrtsstaat	(DE-627)1735209996			https://www.transcript-verlag.de/media/pdf/10/01/d5/oa9783839455944ZVvXTgBMIb7Po.pdf							
1782661336	b	2021	Estimates of the exchange rate pass-through to consumer prices in Malta				Rapa, Noel	Abela, Glenn				eng				(DE-627)1735209996	Research bulletin ...	(DE-627)1725496402|(DE-600)3032131-1	https://www.centralbankmalta.org/site/Publications/Research-Bulletin-2021.pdf?revcount=5496							
1782661069	b	2021	The relationship between salaries and education attainment in Malta				Debono, Nathaniel					eng				(DE-627)1735209996	Research bulletin ...	(DE-627)1725496402|(DE-600)3032131-1	https://www.centralbankmalta.org/site/Publications/Research-Bulletin-2021.pdf?revcount=5496							
1782660755	b	2021	Mitigation measures, prevalence response and public mobility during the COVID-19 emergency				Rapa, Noel					eng				(DE-627)1735209996	Research bulletin ...	(DE-627)1725496402|(DE-600)3032131-1	https://www.centralbankmalta.org/site/Publications/Research-Bulletin-2021.pdf?revcount=5496							
1782660372	b	2021	The impact of external shocks in the Euro area on the Maltese economy				Fenech, William Gatt	Ruisi, Germano				eng				(DE-627)1735209996	Research bulletin ...	(DE-627)1725496402|(DE-600)3032131-1	https://www.centralbankmalta.org/site/Publications/Research-Bulletin-2021.pdf?revcount=5496							
1782649352	b	2021	The inequality trap : how high stakes fueloverestimation and equity aversion : experimental evidence on preferences for redistribution				Bernasconia, Michele	Neunhoeffer, Frieder				eng				(DE-627)1735209996	CeNDEF working paper	(DE-627)1744860645|(DE-600)3050880-0	https://cendef.uva.nl/binaries/content/assets/subsites/cendef/working-papers-2021/the-inequality-trap.pdf							
1782648984	b	2021	Gender differences in private and public goal setting				Brandts, Jordi	El Baroudi, Sabrine|Huber, Stefanie J.|Rott, Christina				eng				(DE-627)1735209996	CeNDEF working paper	(DE-627)1744860645|(DE-600)3050880-0	https://cendef.uva.nl/binaries/content/assets/subsites/cendef/working-papers-2021/gender-differences-in-private-and-public-goal-setting.pdf							
1782648631	b	2021	Concentration, stagnation and inequality : an agent-based approach				Terranova, Roberta	Turco, Enrico M.				eng				(DE-627)1735209996	CeNDEF working paper	(DE-627)1744860645|(DE-600)3050880-0	https://cendef.uva.nl/binaries/content/assets/subsites/cendef/working-papers-2021/concentration-stagnation-and-inequality.pdf							
1782648089	b	2021	Rational vs irrational beliefs in a complex world				Böhl, Gregor	Hommes, Cars H.				eng				(DE-627)1735209996	CeNDEF working paper	(DE-627)1744860645|(DE-600)3050880-0	http://gregorboehl.com/live/rational_chaos_bh.pdf							
1782638709	m	2021	Global externalities, local policies, and firm selection				Ahlvik, Lassi	Liski, Matti			Cambridge, MA, USA : MIT Center for Energy and Environmental Policy Research	eng			Working paper series / MIT Center for Energy and Environmental Policy Research	(DE-627)1735209996			https://ceepr.mit.edu/workingpaper/global-externalities-local-policies-and-firm-selection/							
