identifier.ppn	type	date.issued	title	part	title.alternative	identifier.isbn	contributor.primary	contributor.other	identifier.pi	rights	publisher	language.iso	subject.ddc	subject.jel	description.version	subject.keyword	relation.ispartofseries	relation.ispartof	url	description.abstract
898111358		2007	"Business management review : journal of the University of Dar es Salaam Business School"		BMR				11159/2794		"Dar es Salaam : University of Dar es Salaam Business School"	eng							http://journals.udsm.ac.tz/index.php/bmr/index|http://zbw.eu/econis-archiv/handle/11159/2794|http://www.bibliothek.uni-regensburg.de/ezeit/?2905796|https://hdl.handle.net/11159/2794	
1663700419	b	2016	"Adoption of standards and certification among Tanzanian agribusiness firms for export : demystifying gaps in internationalisation theory"				"Elly, Tumsifu"		11159/3058	https://creativecommons.org/licenses/by/4.0/		eng						(DE-627)898111358|(DE-600)2905796-6|(DE-576)493563148	http://hdl.handle.net/11159/3058|http://journals.udsm.ac.tz/index.php/bmr/article/view/96|http://journals.udsm.ac.tz/index.php/bmr/article/download/96/74	
166369995X	b	2016	"Model for exploring women entrepreneurial motivation in the Tanzanian construction industry"				"Nyamagere, Gladys Sospeter"		11159/3057	https://creativecommons.org/licenses/by/4.0/		eng						(DE-627)898111358|(DE-600)2905796-6|(DE-576)493563148	http://hdl.handle.net/11159/3057|http://journals.udsm.ac.tz/index.php/bmr/article/view/95|http://journals.udsm.ac.tz/index.php/bmr/article/download/95/73	
1663697787	b	2016	"Determinants of bank capital structure : does bank ownership matter? : evidence from Tanzania"				"Swai, Tobias A."	"Lwiza, Daudi V. B.|Ndanshau, Michael O. A."	11159/3056	https://creativecommons.org/licenses/by/4.0/		eng						(DE-627)898111358|(DE-600)2905796-6|(DE-576)493563148	http://hdl.handle.net/11159/3056|http://journals.udsm.ac.tz/index.php/bmr/article/view/94|http://journals.udsm.ac.tz/index.php/bmr/article/download/94/72	
166369740X	b	2016	"Credit availability for Tanzania's small businesses : a gender perspective"				"Lotto, Josephat"		11159/3055	https://creativecommons.org/licenses/by/4.0/		eng						(DE-627)898111358|(DE-600)2905796-6|(DE-576)493563148	http://hdl.handle.net/11159/3055|http://journals.udsm.ac.tz/index.php/bmr/article/view/93|http://journals.udsm.ac.tz/index.php/bmr/article/download/93/71	
166369723X	b	2016	"Containing opportunism in buyer-seller relationships : a case of tour operators and accommodation establishments in the Tanzania's tourism industry"				"Sakita, Benjamin Mosses"		11159/3054	https://creativecommons.org/licenses/by/4.0/		eng						(DE-627)898111358|(DE-600)2905796-6|(DE-576)493563148	http://hdl.handle.net/11159/3054|http://journals.udsm.ac.tz/index.php/bmr/article/view/91|http://journals.udsm.ac.tz/index.php/bmr/article/download/91/69	
1670324052	b	2016	"Firm capabilities, entrepreneurial competency and performance of Ugandan SMEs"				"Abaho, Ernest"	"Aarakit, Sylvia|Ntayi, Joseph Mpeera|Kisubi, Moses"	11159/3229	https://creativecommons.org/licenses/by/4.0/		eng						(DE-627)898111358|(DE-600)2905796-6|(DE-576)493563148	http://hdl.handle.net/11159/3229|http://journals.udsm.ac.tz/index.php/bmr/article/view/625/608|http://journals.udsm.ac.tz/index.php/bmr/article/download/625/608	
1670323307	b	2016	"Influence of perceived trust in rural consumer mobile payment service adoption : an understanding of moderation effect"				"Masele, Juma James"	"Taluka, Eliezer"	11159/3228	https://creativecommons.org/licenses/by/4.0/		eng						(DE-627)898111358|(DE-600)2905796-6|(DE-576)493563148	http://hdl.handle.net/11159/3228|http://journals.udsm.ac.tz/index.php/bmr/article/view/502/459|http://journals.udsm.ac.tz/index.php/bmr/article/download/502/459	
1670322459	b	2016	"The impact of owner's identity on corporate capital structure"				"Lotto, Josephat"		11159/3227	https://creativecommons.org/licenses/by/4.0/		eng						(DE-627)898111358|(DE-600)2905796-6|(DE-576)493563148	http://hdl.handle.net/11159/3227|http://journals.udsm.ac.tz/index.php/bmr/article/view/458/424|http://journals.udsm.ac.tz/index.php/bmr/article/download/458/424	
1670320979	b	2016	"Investigation of budgetary performance measurement practices and use of accounting information in Tanzanian local government authorities (lgas) decision making process"				"Mbelwa, Latifa"		11159/3226	https://creativecommons.org/licenses/by/4.0/		eng						(DE-627)898111358|(DE-600)2905796-6|(DE-576)493563148	http://hdl.handle.net/11159/3226|http://journals.udsm.ac.tz/index.php/bmr/article/view/457/423|http://journals.udsm.ac.tz/index.php/bmr/article/download/457/423	
1670319938	b	2016	"Analysis of education levels and small business financial worth in Uganda"				"Matama, Rogers"		11159/3225	https://creativecommons.org/licenses/by/4.0/		eng						(DE-627)898111358|(DE-600)2905796-6|(DE-576)493563148	http://hdl.handle.net/11159/3225|http://journals.udsm.ac.tz/index.php/bmr/article/view/456/422|http://journals.udsm.ac.tz/index.php/bmr/article/download/456/422	
1670317889	b	2016	"Effects of clients' literacy on default and delinquency of savings and credit co-operative societies in Tanzania"				"Mori, Neema"	"Nyantori, Thadei|Olomi, Donath"	11159/3224	https://creativecommons.org/licenses/by/4.0/		eng						(DE-627)898111358|(DE-600)2905796-6|(DE-576)493563148	http://hdl.handle.net/11159/3224|http://journals.udsm.ac.tz/index.php/bmr/article/view/455/421|http://journals.udsm.ac.tz/index.php/bmr/article/download/455/421	
1671569644	b	2017	"Antecedentsof perceived auditors' vis-à-vis pressure groups' power in public sector : a case studyof Dar es Salaam"				"Bahati, Victor M."		11159/3278	https://creativecommons.org/licenses/by/4.0/		eng						(DE-627)898111358|(DE-600)2905796-6|(DE-576)493563148	http://hdl.handle.net/11159/3278|http://journals.udsm.ac.tz/index.php/bmr/article/view/2862|http://journals.udsm.ac.tz/index.php/bmr/article/download/2862/2875	
1671569512	b	2017	"The mediation effects of buyer-supplier integration on the relationship between supplier-specific investments and supplier-opportunism"				"Salema, Gladness"		11159/3277	https://creativecommons.org/licenses/by/4.0/		eng						(DE-627)898111358|(DE-600)2905796-6|(DE-576)493563148	http://hdl.handle.net/11159/3277|http://journals.udsm.ac.tz/index.php/bmr/article/view/1066|http://journals.udsm.ac.tz/index.php/bmr/article/download/1066/986	
1671569229	b	2017	"Trade balance determinants in east african countries"				"Suphian, Robert"		11159/3276	https://creativecommons.org/licenses/by/4.0/		eng						(DE-627)898111358|(DE-600)2905796-6|(DE-576)493563148	http://hdl.handle.net/11159/3276|http://journals.udsm.ac.tz/index.php/bmr/article/view/1041|http://journals.udsm.ac.tz/index.php/bmr/article/download/1041/968	
1671569105	b	2017	"Entrepreneurial activities and growth of women businesses : a case of Tanzania"				"Wilbard, Juliana"	"Mbura, Omari"	11159/3275	https://creativecommons.org/licenses/by/4.0/		eng						(DE-627)898111358|(DE-600)2905796-6|(DE-576)493563148	http://hdl.handle.net/11159/3275|http://journals.udsm.ac.tz/index.php/bmr/article/view/1065|http://journals.udsm.ac.tz/index.php/bmr/article/download/1065/985	
1671568990	b	2017	"Ethnic entrepreneurship and internationalisation in East Africa"				"Bell, Leendert de"	"Roelfsema, Hein|Swabiri, Khalidi"	11159/3274	https://creativecommons.org/licenses/by/4.0/		eng						(DE-627)898111358|(DE-600)2905796-6|(DE-576)493563148	http://hdl.handle.net/11159/3274|http://journals.udsm.ac.tz/index.php/bmr/article/view/1063|http://journals.udsm.ac.tz/index.php/bmr/article/download/1063/984	
1671568842	b	2017	"Towards social media usage for promotional activities in Tanzanian pension schemes : a factor scores regression analysis of perceived factors"				"Masele, Juma James"	"Magova, Gerald Bernard"	11159/3273	https://creativecommons.org/licenses/by/4.0/		eng						(DE-627)898111358|(DE-600)2905796-6|(DE-576)493563148	http://hdl.handle.net/11159/3273|http://journals.udsm.ac.tz/index.php/bmr/article/view/1062|http://journals.udsm.ac.tz/index.php/bmr/article/download/1062/983	
1671568583	b	2017	"Fundraising initiatives in children's welfare projects : perspectives from local NGOs"				"Rwehumbiza, Deusdedit A"	"Donat, Revocatus"	11159/3272	https://creativecommons.org/licenses/by/4.0/		eng						(DE-627)898111358|(DE-600)2905796-6|(DE-576)493563148	http://hdl.handle.net/11159/3272|http://journals.udsm.ac.tz/index.php/bmr/article/view/1025|http://journals.udsm.ac.tz/index.php/bmr/article/download/1025/954	
167156846X	b	2017	"Women entrepreneurs' strategies and tourism development in Zanzibar"				"Maliva, Nelly"		11159/3271	https://creativecommons.org/licenses/by/4.0/		eng						(DE-627)898111358|(DE-600)2905796-6|(DE-576)493563148	http://hdl.handle.net/11159/3271|http://journals.udsm.ac.tz/index.php/bmr/article/view/1060|http://journals.udsm.ac.tz/index.php/bmr/article/download/1060/982	
1671572505	b	2017	"Residents' perception of tourism impacts and involvement : a cluster analysis of Kilimanjaro residents, Tanzania"				"Jani, Dev"		11159/3284	https://creativecommons.org/licenses/by/4.0/		eng						(DE-627)898111358|(DE-600)2905796-6|(DE-576)493563148	http://hdl.handle.net/11159/3284|http://journals.udsm.ac.tz/index.php/bmr/article/view/1192|http://journals.udsm.ac.tz/index.php/bmr/article/download/1192/1087	
1671571967	b	2017	"The influence of facilitating conditions, perceived benefits, and perceived risk on intention to adopt e-filing in Tanzania"				"Sichone, Joyce"	"Milano, Rufina J.|Kimea, Alfred J."	11159/3283	https://creativecommons.org/licenses/by/4.0/		eng						(DE-627)898111358|(DE-600)2905796-6|(DE-576)493563148	http://hdl.handle.net/11159/3283|http://journals.udsm.ac.tz/index.php/bmr/article/view/1152|http://journals.udsm.ac.tz/index.php/bmr/article/download/1152/1066	
167157169X	b	2017	"The influence of administrative features and users' attributes on the success of technological aspects for e-government implementation in Tanzania : users' perspectives"				"Sichone, Joyce"	"Mbamba, Ulingeta"	11159/3282	https://creativecommons.org/licenses/by/4.0/		eng						(DE-627)898111358|(DE-600)2905796-6|(DE-576)493563148	http://hdl.handle.net/11159/3282|http://journals.udsm.ac.tz/index.php/bmr/article/view/1055|http://journals.udsm.ac.tz/index.php/bmr/article/download/1055/981	
1671571223	b	2017	"Influence of perceived environmental turbulence on market orientation of service firms in Tanzania"				"Mwiru, Diana Philemon"		11159/3281	https://creativecommons.org/licenses/by/4.0/		eng						(DE-627)898111358|(DE-600)2905796-6|(DE-576)493563148	http://hdl.handle.net/11159/3281|http://journals.udsm.ac.tz/index.php/bmr/article/view/1054|http://journals.udsm.ac.tz/index.php/bmr/article/download/1054/980	
