identifier.ppn	type	date.issued	title	part	title.alternative	identifier.isbn	contributor.primary	contributor.other	identifier.pi	rights	publisher	language.iso	subject.ddc	subject.jel	description.version	subject.keyword	relation.ispartofseries	relation.seriesstring	relation.seriesstringvol	relation.ispartof	relation.journalstring	url	description.abstract
1691948535	m	2019	"The impact of abortion on crime and crime-related behavior"				"Hjalmarsson, Randi"	"Mitrut, Andreea|Pop-Eleches, Christian"			"London : Centre for Economic Policy Research"	eng					(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9	"Discussion paper series / Centre for Economic Policy Research. Labour economics and public economics"	DP13800			https://cepr.org/active/publications/discussion_papers/download.php?dpno=13800|https://cepr.org/active/publications/discussion_papers/dp.php?dpno=13800	
1691948306	m	2019	"Technology gaps, trade and income"				"Sampson, Thomas"				"London : Centre for Economic Policy Research"	eng					(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9	"Discussion paper series / Centre for Economic Policy Research. International trade and regional economics and macroeconomics and growth"	DP13799			https://cepr.org/active/publications/discussion_papers/download.php?dpno=13799|https://cepr.org/active/publications/discussion_papers/dp.php?dpno=13799	
1691948039	m	2019	"Stable genius? : the macroeconomic impact of Trump"				"Born, Benjamin"	"Müller, Gernot J.|Schularick, Moritz|Sedlácek, Petr"			"London : Centre for Economic Policy Research"	eng					(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9	"Discussion paper series / Centre for Economic Policy Research. Monetary economics and fluctuations"	DP13798			https://cepr.org/active/publications/discussion_papers/download.php?dpno=13798|https://cepr.org/active/publications/discussion_papers/dp.php?dpno=13798	
169194775X	m	2019	"The industrial revolution in services"				"Hsieh, Chang-tai"	"Rossi-Hansberg, Esteban"			"London : Centre for Economic Policy Research"	eng					(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9	"Discussion paper series / Centre for Economic Policy Research. International trade and regional economics and macroeconomics and growth"	DP13797			https://cepr.org/active/publications/discussion_papers/download.php?dpno=13797|https://cepr.org/active/publications/discussion_papers/dp.php?dpno=13797	
1691946656	m	2019	"International comovement in the global production network"				"Huo, Zhen"	"Levchenko, Andrei A.|Pandalai-Nayar, Nitya"			"London : Centre for Economic Policy Research"	eng					(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9	"Discussion paper series / Centre for Economic Policy Research. International macroeconomics and finance. Monetary economics and fluctuations"	DP13796			https://cepr.org/active/publications/discussion_papers/download.php?dpno=13796|https://cepr.org/active/publications/discussion_papers/dp.php?dpno=13796	
1691946184	m	2019	"Kinks and gains from credit cycles"				"Jensen, Henrik"	"Ravn, Søren Hove|Santoro, Emiliano"			"London : Centre for Economic Policy Research"	eng					(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9	"Discussion paper series / Centre for Economic Policy Research. Monetary economics and fluctuations"	DP13795			https://cepr.org/active/publications/discussion_papers/download.php?dpno=13795|https://cepr.org/active/publications/discussion_papers/dp.php?dpno=13795	
1691945897	m	2019	"The ties that bind : implicit contracts and management practices in family-run firms"				"Scur, Daniela"	"Lemos, Renata"			"London : Centre for Economic Policy Research"	eng					(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9	"Discussion paper series / Centre for Economic Policy Research. Macroeconomics and growth"	DP13794			https://cepr.org/active/publications/discussion_papers/download.php?dpno=13794|https://cepr.org/active/publications/discussion_papers/dp.php?dpno=13794	
1691945560	m	2019	"Price discrimination in the information age : prices, poaching, and privacy with personalized targeted discounts"				"Anderson, Simon P."	"Baik, Alicia|Larson, Nathan"			"London : Centre for Economic Policy Research"	eng					(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9	"Discussion paper series / Centre for Economic Policy Research. Industrial organization"	DP13793			https://cepr.org/active/publications/discussion_papers/download.php?dpno=13793|https://cepr.org/active/publications/discussion_papers/dp.php?dpno=13793	
1691945277	m	2019	"The armistice of the sexes : gender complementarities in the production function"				"Espinoza, Raphael"	"Ostry, Jonathan David|Papageorgiou, Chris"			"London : Centre for Economic Policy Research"	eng					(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9	"Discussion paper series / Centre for Economic Policy Research. International macroeconomics and finance and macroeconomics and growth"	DP13792			https://cepr.org/active/publications/discussion_papers/download.php?dpno=13792|https://cepr.org/active/publications/discussion_papers/dp.php?dpno=13792	
1691935816	m	2019	"Corporate cash holdings : stock liquidity and the repurchase motive"				"Nyborg, Kjell G."	"Wang, Zexi"			"London : Centre for Economic Policy Research"	eng					(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9	"Discussion paper series / Centre for Economic Policy Research. Financial economics"	DP13791			https://cepr.org/active/publications/discussion_papers/download.php?dpno=13791|https://cepr.org/active/publications/discussion_papers/dp.php?dpno=13791	
