identifier.ppn	type	date.issued	title	part	title.alternative	identifier.isbn	contributor.primary	contributor.other	identifier.pi	rights	publisher	language.iso	subject.ddc	subject.jel	description.version	subject.keyword	relation.ispartofseries	relation.ispartof	url	description.abstract
1668807742	m	2019	Well-being, political decentralisation and governance quality in Europe				Rodríguez-Pose, Andrés	Tselios, Vassilis			London : Centre for Economic Policy Research	eng					(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9		https://cepr.org/active/publications/discussion_papers/download.php?dpno=13423	
1668809060	m	2019	Fighting mobile crime				Crinò, Rosario	Immordino, Giovanni|Piccolo, Salvatore			London : Centre for Economic Policy Research	eng					(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9		https://cepr.org/active/publications/discussion_papers/download.php?dpno=13424	
1668810158	m	2019	Folklore				Michalopoulos, Stylianos	Xue, Melanie Meng			London : Centre for Economic Policy Research	eng			Revision		(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9		https://cepr.org/active/publications/discussion_papers/download.php?dpno=13425	
1668811014	m	2019	New testing approaches for mean-variance predictability				Fiorentini, Gabriele	Sentana, Enrique			London : Centre for Economic Policy Research	eng					(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9		https://cepr.org/active/publications/discussion_papers/download.php?dpno=13426	
1671046315	m	2019	The granular nature of large institutional investors				Franzoni, Francesco	Ben-David, Itzhak|Moussawi, Rabih|Sedunov, John			London : Centre for Economic Policy Research	eng					(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9		https://cepr.org/active/publications/discussion_papers/download.php?dpno=13427	
1671046714	m	2019	The fall in UK potential output due to the financial crisis : a much bigger estimate				Crafts, Nicholas				London : Centre for Economic Policy Research	eng					(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9		https://cepr.org/active/publications/discussion_papers/download.php?dpno=13428	
1671079779	m	2019	The origins of firm heterogeneity : a production network approach				Bernard, Andrew B.	Dhyne, Emmanuel|Magerman, Glenn|Manova, Kalina|Moxnes, Andreas			London : Centre for Economic Policy Research	eng					(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9		https://cepr.org/active/publications/discussion_papers/download.php?dpno=13429	
1671080408	m	2019	Modified causal forests for estimating heterogeneous causal effects				Lechner, Michael				London : Centre for Economic Policy Research	eng					(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9		https://cepr.org/active/publications/discussion_papers/download.php?dpno=13430	
1671080955	m	2019	Scaring or scarring? : labour market effects of criminal victimisation				Ketel, Nadine	Bindler, Anna			London : Centre for Economic Policy Research	eng					(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9		https://cepr.org/active/publications/discussion_papers/download.php?dpno=13431	
1671081714	m	2019	The fiscal theory of the price level in overlapping generations models				Farmer, Roger E. A.	Zabczyk, Pawel			London : Centre for Economic Policy Research	eng					(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9		https://cepr.org/active/publications/discussion_papers/download.php?dpno=13432	
1671048202	m	2019	Heterogeneity, measurement error, and misallocation : evidence from african agriculture				Gollin, Douglas	Udry, Christopher			London : Centre for Economic Policy Research	eng					(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9		https://cepr.org/active/publications/discussion_papers/download.php?dpno=13433	
1671082435	m	2019	From microeconomic favoritism to macroeconomic populism				Saint-Paul, Gilles				London : Centre for Economic Policy Research	eng					(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9		https://cepr.org/active/publications/discussion_papers/download.php?dpno=13434	
1671049365	m	2019	Global price of risk and stabilization policies				Adrian, Tobias	Vogt, Erik|Stackman, Daniel			London : Centre for Economic Policy Research	eng					(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9		https://cepr.org/active/publications/discussion_papers/download.php?dpno=13435	
1671050193	m	2019	Where is the middle class? : inequality, gender and the shape of the upper tail from 60 million english death and probate records, 1892-2016				Cummins, Neil				London : Centre for Economic Policy Research	eng					(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9		https://cepr.org/active/publications/discussion_papers/download.php?dpno=13436	
1671056892	m	2019	Bite and divide : malaria and ethnolinguistic diversity				Cervellati, Matteo	Chiovelli, Giorgio|Esposito, Elena			London : Centre for Economic Policy Research	eng					(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9		https://cepr.org/active/publications/discussion_papers/download.php?dpno=13437	
1671083091	m	2019	The long-run information effect of central bank communication				Hansen, Stephen	McMahon, Michael|Tong, Matthew			London : Centre for Economic Policy Research	eng					(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9		https://cepr.org/active/publications/discussion_papers/download.php?dpno=13438	
1671058941	m	2019	Was Brexit triggered by the old and unhappy? : or by financial feelings?				Liberini, Federica	Oswald, Andrew J.|Proto, Eugenio|Redoano, Michela			London : Centre for Economic Policy Research	eng					(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9		https://cepr.org/active/publications/discussion_papers/download.php?dpno=13439	
1671059891	m	2019	The economic effects of density : a synthesis				Ahlfeldt, Gabriel M.	Pietrostefani, Elisabetta			London : Centre for Economic Policy Research	eng					(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9		https://cepr.org/active/publications/discussion_papers/download.php?dpno=13440	
1671060350	m	2019	Strategic interpretations				Eliaz, Kfir	Spiegler, Ran|Thysen, Heidi C			London : Centre for Economic Policy Research	eng					(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9		https://cepr.org/active/publications/discussion_papers/download.php?dpno=13441	
1671060806	m	2019	Search frictions in international good markets				Lenoir, Clemence	Martin, Julien|Méjean, Isabelle			London : Centre for Economic Policy Research	eng					(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9		https://cepr.org/active/publications/discussion_papers/download.php?dpno=13442	
1671061535	m	2019	Using RCTs to estimate long-run impacts in development economics				Bougen, Adrien	Huang, Yue|Kremer, Michael|Miguel, Edward			London : Centre for Economic Policy Research	eng					(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9		https://cepr.org/active/publications/discussion_papers/download.php?dpno=13443	
