identifier.ppn	type	date.issued	title	part	title.alternative	identifier.isbn	relation.issn	relation.journalzdbid	relation.serieszdbid	contributor.author	contributor.editor	contributor.other	identifier	identifier.pi	rights.license	publisher	language.iso	subject.jel	description.version	relation.ispartofseries	relation.seriesppn	relation.ispartofjournal	relation.journalppn	relation.ispartofbook	relation.bookppn	econstor.citation.volume	econstor.citation.issue	econstor.citation.articlenumber	econstor.citation.startpage	econstor.citation.endpage	url	collection_handle	identifier.packageid	filepath	description.abstract	subject.ddc	subject.keyword
1831503115	m	2023	"Predicting voter ideology using machine learning"							"Mellacher, Patrick|Lechner, Gernot"						"[Graz] : Graz Schumpeter Centre"	eng			"GSC discussion paper series"	(DE-627)879427086|(DE-576)483319899|(DE-600)2883697-2										https://static.uni-graz.at/fileadmin/sowi-zentren/Schumpeter-Centre/GSC_Discussion_Paper/29_Mellacher_predicting_voter_ideology.pdf	11159/17					
1831497131	m	2023	"The impact of high inflation on trust in national politics and central banks"						2435220-2	"Cruijsen, Carin van der|Haan, Jakob de|Rooij, Maarten van"						"Amsterdam, The Netherlands : De Nederlandsche Bank NV"	eng			"DNB working paper"	(DE-627)571607012|(DE-576)283869348|(DE-600)2435220-2										https://www.dnb.nl/media/dp3menzm/working_paper_no_762.pdf|https://www.dnb.nl/en/publications/research-publications/working-paper-2023/762-the-impact-of-high-inflation-on-trust-in-national-politics-and-central-banks/	11159/17					
1831496372	m	2023	"Loan-to-value shocks and macroeconomic stability"						2435220-2	"Veirman, Emmanuel de"						"Amsterdam, The Netherlands : De Nederlandsche Bank NV"	eng			"DNB working paper"	(DE-627)571607012|(DE-576)283869348|(DE-600)2435220-2										https://www.dnb.nl/media/jxgn0lvx/working_paper_no_763.pdf|https://www.dnb.nl/en/publications/research-publications/working-paper-2023/763-loan-to-value-shocks-and-macroeconomic-stability/	11159/17					
183114364X	m	2023	"Accounting for the long-term stability of the welfare-state regimes in a model with distributive preferences and social norms"							"Le Garrec, Gilles"						"Paris, France : OFCE"	eng			"Sciences Po OFCE working paper"	(DE-627)897445988|(DE-576)49342699X|(DE-600)2905416-3										https://www.ofce.sciences-po.fr/pdf/dtravail/OFCEWP2023-01.pdf	11159/17					
183112226X	m	2023	"The impact of environmental research networks on green exports : an analysis of a sample of European countries"							"Fabrizi, Andrea|Guarini, Giulio|Meliciani, Valentina"						"Rome, Italy : Luiss School of European Political Economy"	eng			"Working paper / Luiss School of European Political Economy"	(DE-627)1693255049|(DE-600)3012286-7										https://sep.luiss.it/wp-content/uploads/2023/01/WP1.23-Green_network_export_.pdf|https://sep.luiss.it/publication-research/publications/a-fabrizi-g-guarini-v-meliciani-the-impact-environmental-research-networks-on-green-exports-an-analysis-of-a-sample-of-european-countries/	11159/17					
1831117746	m	2023	"The security of retail payment instruments : evidence from supervisory data"							"Cologgi, Massimiliano"						"Rome, Italy : Banca d'Italia"	eng			"Markets, infrastructures, payment systemsResearch papers"	(DE-627)1749134608|(DE-600)3054776-3										https://www.bancaditalia.it/pubblicazioni/mercati-infrastrutture-e-sistemi-di-pagamento/approfondimenti/2023-030/N.30-MISP.pdf?language_id=1|https://www.bancaditalia.it/pubblicazioni/mercati-infrastrutture-e-sistemi-di-pagamento/approfondimenti/2023-030/index.html	11159/17					
1831069598	m	2023	"State Pension eligibility age and retirement behaviour : evidence from the United Kingdom Household Longitudinal Study"							"Kanabar, Ricky|Kalwij, Adriaan"						"[Tilburg] : Netspar, Network for Studies on Pensions, Aging and Retirement"	eng			"Netspar academic seriesDP"	(DE-627)1745936882|(DE-600)3051979-2										https://www.netspar.nl//assets/uploads/P20230109_DP001_Kalwij.pdf|https://www.netspar.nl/publicatie/state-pension-eligibility-age-and-retirement-behaviour-evidence-from-the-united-kingdom-household-longitudinal-study/	11159/17					
1831067315	m	2023	"Energy efficient UAV-based last-mile delivery : a tactical-operational model with shared depots and non-linear energy consumption model"							"Bruni, Maria Elena|Khodaparasti, Sara|Perboli, Guido"						"Montréal (Québec) : Bureau de Montreal, Université de Montreal"	eng			CIRRELT	(DE-627)1685877397|(DE-600)3003614-8										https://www.cirrelt.ca/documentstravail/cirrelt-2023-02.pdf	11159/17					
1831067161	m	2023	"A bi-level approach for last-mile delivery with multiple satellites"							"Bruni, Maria Elena|Khodaparasti, Sara|Perboli, Guido"						"Montréal (Québec) : Bureau de Montreal, Université de Montreal"	eng			CIRRELT	(DE-627)1685877397|(DE-600)3003614-8										https://www.cirrelt.ca/documentstravail/cirrelt-2023-01.pdf	11159/17					
1830806637	m	2023	"Tax expenditures by race and hispanic ethnicity : an application of the U.S. Treasury Department's race and hispanic ethnicity imputation"							"Cronin, Julie-Anne|DeFilippes, Portia|Fisher, Robin"						"[Washington, DC] : [U.S. Department of the Treasury, Office of Tax Analysis]"	eng			"Office of Tax Analysis working paper"	(DE-627)1784528412|(DE-600)3104972-2										https://home.treasury.gov/system/files/131/WP-122.pdf	11159/17					
183080443X	m	2023	"Investigating the fiduciary using social positioning theory : an indepth analysis"						2181036-9	"Mussell, Helen"						"[Cambridge] : [Centre for Business Research, University of Cambridge]"	eng			"Working paper / Centre for Business Research, University of Cambridge"	(DE-627)481908307|(DE-576)281272026|(DE-600)2181036-9										https://www.cbr.cam.ac.uk/wp-content/uploads/2023/01/wp-536.pdf	11159/17					
1830803719	m	2023	"Physical and transition risk premiums in euro area corporate bond markets"						2435220-2	"Bats, Joost|Bua, Giovanna|Kapp, Daniel"						"Amsterdam, The Netherlands : De Nederlandsche Bank NV"	eng			"DNB working paper"	(DE-627)571607012|(DE-576)283869348|(DE-600)2435220-2										https://www.dnb.nl/media/b4oj2bm5/working_paper_no-761.pdf|https://www.dnb.nl/en/publications/research-publications/working-paper-2023/761-physical-and-transition-risk-premiums-in-euro-area-corporate-bond-markets/	11159/17					
1832715701	b	2022	"Perception of the balance of payments and monetary policy in the late 1960s : focusing on the Bank of Japan’s viewpoint before and after the monetary policy shift"				0288-8432	2157869-2		"Kamio, Hidekatsu|Morita, Yasuko"							eng					"Monetary and economic studies"	(DE-627)392460823|(DE-600)2157869-2|(DE-576)281255970			40			101	152	https://www.imes.boj.or.jp/research/papers/english/me40-6.pdf	11159/17					
183271568X	b	2022	"The effects of corporate governance on ESG-related information disclosure : evidence from Japanese firms"				0288-8432	2157869-2		"Kato, Tatsuya"							eng					"Monetary and economic studies"	(DE-627)392460823|(DE-600)2157869-2|(DE-576)281255970			40			67	100	https://www.imes.boj.or.jp/research/papers/english/me40-5.pdf	11159/17					
1832715655	b	2022	"Inflation surges and monetary policy"				0288-8432	2157869-2		"Walsh, Carl E."							eng					"Monetary and economic studies"	(DE-627)392460823|(DE-600)2157869-2|(DE-576)281255970			40			39	66	https://www.imes.boj.or.jp/research/papers/english/me40-4.pdf	11159/17					
1832715620	b	2022	"The Mayekawa Lecture : institutional innovation and Central bank independence 2.0"				0288-8432	2157869-2		"Rogoff, Kenneth S."							eng					"Monetary and economic studies"	(DE-627)392460823|(DE-600)2157869-2|(DE-576)281255970			40			25	38	https://www.imes.boj.or.jp/research/papers/english/me40-3.pdf	11159/17					
1832715566	b	2022	"Opening remarks"				0288-8432	2157869-2		"Kuroda, Haruhiko"							eng					"Monetary and economic studies"	(DE-627)392460823|(DE-600)2157869-2|(DE-576)281255970			40			21	24	https://www.imes.boj.or.jp/research/papers/english/me40-2.pdf	11159/17					
1832715442	b	2022	"New dimensions and frontiers in central banking : summary of the 2022 BOJ-IMES Conference"				0288-8432	2157869-2		"Fueki, Takuji|Soejima, Yutaka|Yoneyama, Shunichi"							eng					"Monetary and economic studies"	(DE-627)392460823|(DE-600)2157869-2|(DE-576)281255970			40			1	20	https://www.imes.boj.or.jp/research/papers/english/me40-1.pdf	11159/17					
1831789221	m	2022	"Enabling inclusive economic ecosystems in Africa : a role for city governments?"							"Joseph, Stacey-Leigh|Karuri-Sebina, Geci"				10539/34154		"[Johannesburg] : WITS University, Southern Centre for Inequality Studies"	eng			"Pre-distribution and ownership project|SCIS working paper"	(DE-627)1778947050|(DE-600)3101925-0										https://wiredspace.wits.ac.za/bitstreams/6695b949-9793-4dc3-bc33-704a4bec23f9/download|https://hdl.handle.net/10539/34154	11159/17					
1831788845	m	2022	"Sovereign debt : a quagmire for growth and equity"							"Lijane, Mamokete"				10539/33872		"[Johannesburg] : WITS University, Southern Centre for Inequality Studies"	eng			"Pre-distribution and ownership|SCIS working paper"	(DE-627)1778947050|(DE-600)3101925-0										https://wiredspace.wits.ac.za/bitstreams/cc31ba09-9c50-4e4a-8224-d8b9abb54686/download|https://hdl.handle.net/10539/33872	11159/17					
183178677X	m	2022	"Towards a tracking system to enforce competition law in the Southern and East African region"							"Manjengwa, Earnest|Padayachie, Karissa Moothoo|Nsomba, Grace|Tshabalala, Ntombifuthi|Vilakazi, Thando"				10539/34032		"[Johannesburg] : WITS University, Southern Centre for Inequality Studies"	eng			"Pre-distribution and ownership project|SCIS working paper"	(DE-627)1778947050|(DE-600)3101925-0										https://wiredspace.wits.ac.za/bitstreams/749aa293-c81d-40cc-bd51-065ce3cf33eb/download|https://hdl.handle.net/10539/34032	11159/17					
1831785498	m	2022	"Characterising the relationship between market power and inequality in Southern and East Africa : why it matters?"							"Padayachie, Karissa Moothoo|Vilakazi, Thando"				10539/33648		"[Johannesburg] : WITS University, Southern Centre for Inequality Studies"	eng			"Pre-distribution and ownership project|SCIS working paper"	(DE-627)1778947050|(DE-600)3101925-0										https://wiredspace.wits.ac.za/bitstreams/6a572b3f-bb60-455d-91df-d257c7967406/download|https://hdl.handle.net/10539/33648	11159/17					
1831784688	m	2022	"Competition and inequality in developing countries"							"Goga, Sha’ista"				10539/33598		"[Johannesburg] : WITS University, Southern Centre for Inequality Studies"	eng			"Pre-distribution and ownership|SCIS working paper"	(DE-627)1778947050|(DE-600)3101925-0										http://hdl.handle.net/10539/33598|https://wiredspace.wits.ac.za/bitstreams/565e084f-8dda-42e5-b286-7bbb567a425d/download	11159/17					
1831783916	m	2022	"Public services, government employment and the budget"							"Sachs, Michael|Ewinyu, Arabo|Shedi, Olwethu"						"[Johannesburg] : University of the Witwatersrand, Johannesburg"	eng			"Public economy project|SCIS working paper"	(DE-627)1778947050|(DE-600)3101925-0										https://www.wits.ac.za/media/wits-university/faculties-and-schools/commerce-law-and-management/research-entities/scis/documents/Public%20services,%20government%20employment%20and%20the%20budget.pdf	11159/17					
1831616734	m	2022	"Information intermediaries and sustainability : ESG ratings and benchmarks in the European Union"							"Gargantini, Matteo|Siri, Michele"						"Brussels, Belgium : European Capital Markets Institute"	eng			"ECMI working paper"	(DE-627)1802573968|(DE-600)3119628-7										https://www.ecmi.eu/sites/default/files/ecmi_working_paper_information_intermediaries_and_esg_0.pdf|https://www.ecmi.eu/publications/working-papers/information-intermediaries-and-sustainability-esg-ratings-and-benchmarks	11159/17					
1831497956	m	2022	"The effects of monetary policy across fiscal regimes"						2435220-2	"Kloosterman, Roben|Bonam, Dennis|Veer, Koen J. M. van der"						"Amsterdam, The Netherlands : De Nederlandsche Bank NV"	eng			"DNB working paper"	(DE-627)571607012|(DE-576)283869348|(DE-600)2435220-2										https://www.dnb.nl/media/orjbctum/working_paper_no_755.pdf|https://www.dnb.nl/en/publications/research-publications/working-paper-2022/755-the-effects-of-monetary-policy-across-fiscal-regimes/	11159/17					
1831121700	m	2022	"Measuring risk capacity"							"Alessie, Rob|Angelini, Viola|Kleinhuis, Lars"						"[Tilburg] : Netspar, Network for Studies on Pensions, Aging and Retirement"	eng			"Netspar industry seriesDesign paper"	(DE-627)1777398665|(DE-600)3100833-1										https://www.netspar.nl//assets/uploads/Netspar-Design-Paper-219-WEB.pdf|https://www.netspar.nl/en/publication/measuring-risk-capacity/	11159/17					
1831116413	m	2022	"Temperature and cognitive performance"							"Krebs, Benjamin"						"Cambridge, MA, USA : MIT Center for Energy and Environmental Policy Research"	eng			"Working paper series / MIT Center for Energy and Environmental Policy Research"	(DE-627)1757631569|(DE-600)3063811-2										https://ceepr.mit.edu/wp-content/uploads/2022/12/2022-019.pdf|https://ceepr.mit.edu/workingpaper/temperature-and-cognitive-performance/	11159/17					
1831069210	m	2022	"Linear factor models and the estimation of expected returns"							"Sarisoy, Cisil|Goeij, Peter de|Werker, Bas J. M."						"[Tilburg] : Netspar, Network for Studies on Pensions, Aging and Retirement"	eng			"Netspar academic seriesDP"	(DE-627)1745936882|(DE-600)3051979-2										https://www.netspar.nl//assets/uploads/p20221222_dp041_wERKER.pdf|https://www.netspar.nl/publicatie/linear-factor-models-and-the-estimation-of-expected-returns-2/	11159/17					
1831069032	m	2022	"Disparities in financial literacy, pension planning, and saving behavior"							"Bucher-Koenen, Tabea|Hackethal, Andreas|Kasinger, Johannes|Laudenbach, Christine"						"[Tilburg] : Netspar, Network for Studies on Pensions, Aging and Retirement"	eng			"Netspar academic seriesDP"	(DE-627)1745936882|(DE-600)3051979-2										https://www.netspar.nl//assets/uploads/P20220902_DP040_BucherKoenen.pdf|https://www.netspar.nl/publicatie/disparities-in-financial-literacy-pension-planning-and-saving-behavior/	11159/17					
1831068621	m	2022	"The effect of pension wealth on employment"							"Becker, Sebastian|Buslei, Hermann|Geyer, Johannes|Haan, Peter"						"[Tilburg] : Netspar, Network for Studies on Pensions, Aging and Retirement"	eng			"Netspar academic seriesDP"	(DE-627)1745936882|(DE-600)3051979-2										https://www.netspar.nl//assets/uploads/P20221226_DP039_Haan.pdf|https://www.netspar.nl/publicatie/the-effect-of-pension-wealth-on-employment/	11159/17					
1830811568	m	2022	"Rural Iowa at a glance : population trends and economic trends"							"Peters, David J."						"Ames, Iowa : [Center for Agricultural and Rural Development, Iowa State University]"	eng			"Staff report / Center for Agricultural and Rural Development, Iowa State University"	(DE-627)1805832999|(DE-600)3121003-X										https://www.card.iastate.edu/products/publications/pdf/22sr120.pdf|https://www.card.iastate.edu/products/publications/synopsis/?p=1363	11159/17					
1830803174	m	2022	"Paying in a blink of an eye : it hurts less, but you spend more"						2435220-2	"Broekhoff, Marie-Claire|Cruijsen, Carin van der"						"Amsterdam, The Netherlands : De Nederlandsche Bank NV"	eng			"DNB working paper"	(DE-627)571607012|(DE-576)283869348|(DE-600)2435220-2										https://www.dnb.nl/media/htbnszz1/working_paper_no-_760.pdf|https://www.dnb.nl/en/publications/research-publications/working-paper-2022/760-paying-in-a-blink-of-an-eye-it-hurts-less-but-you-spend-more/	11159/17					
1830802569	m	2022	"Who participates in the credit market during the COVID-19 pandemic?"						2435220-2	"Charalambakis, Evangelos|Teppa, Federica|Tsiortas, Athanasios"						"Amsterdam, The Netherlands : De Nederlandsche Bank NV"	eng			"DNB working paper"	(DE-627)571607012|(DE-576)283869348|(DE-600)2435220-2										https://www.dnb.nl/media/bx3ldccx/working_paper_no-759.pdf|https://www.dnb.nl/en/publications/research-publications/working-paper-2022/759-who-participates-in-the-credit-market-during-the-covid-19-pandemic/	11159/17					
1830801740	m	2022	"A literature review of securities holdings statistics research and a practitioner’s guide"						2435220-2	"Boermans, Martijn"						"Amsterdam, The Netherlands : De Nederlandsche Bank NV"	eng			"DNB working paper"	(DE-627)571607012|(DE-576)283869348|(DE-600)2435220-2										https://www.dnb.nl/media/cnjansxv/working_paper_no_757.pdf|https://www.dnb.nl/en/publications/research-publications/working-paper-2022/757-a-literature-review-of-securities-holdings-statistics-research-and-a-practitioner-s-guide/	11159/17					
183013132X	m	2022	"Luka CIT w Polsce"			9788366698703				"Sawulski, Jakub|Klucznik, Marcin|Reczek, Michał|Rybacki, Jakub"						"Warszawa : Polski Instytut Ekonomiczny"	pol			"Working paper / Polski Instytut Ekonomiczny"	(DE-627)176524949X|(DE-600)3078534-0										https://pie.net.pl/wp-content/uploads/2022/12/WorkingP-2-2022-Luka-CIT-w-PL.pdf|https://pie.net.pl/luka-cit-w-polsce/	11159/17					
1830131044	m	2022	"The green transition in the shadow of the war"			9788367575041				"Lipiński, Kamil|Miniszewski, Maciej|Pilszyk, Marcelina"						"Warsaw : Polish Economic Institute"	eng			"Policy paper / Polish Economic Institute"	(DE-627)1765252741|(DE-600)3078539-X										https://pie.net.pl/wp-content/uploads/2022/12/The-green-transition-in-the-shadow-of-the-war.pdf|https://pie.net.pl/en/the-green-transition-in-the-shadow-of-the-war/	11159/17					
1830130668	m	2022	"Inventory control and learning for one-warehouse multistore system with censored demand"							"Bekci, Recep Yusuf|Gümüş, Mehmet|Miao, Sentao"						"Montréal (Québec), Canada : GERAD, HÉC Montréal"	eng			"Les cahiers du GERAD"	(DE-627)1700394924|(DE-600)3026340-2										https://www.gerad.ca/fr/papers/G-2022-51.pdf|https://www.gerad.ca/fr/papers/G-2022-51	11159/17					
1830130560	m	2022	"Online Newton's method with linear time-varying equality constraints"							"Lupien, Jean-Luc|Lesage-Landry, Antoine"						"Montréal (Québec), Canada : GERAD, HÉC Montréal"	eng			"Les cahiers du GERAD"	(DE-627)1700394924|(DE-600)3026340-2										https://www.gerad.ca/fr/papers/G-2022-49.pdf|https://www.gerad.ca/fr/papers/G-2022-49	11159/17					
1830130528	m	2022	"Short-term hydropower optimization in the day-ahead market using a nonlinear stochastic programming model"							"Aminabadi, Mohammad Jafari|Séguin, Sara|Fofana, Issouf|Fleten, Stein-Erik|Aasgård, Ellen Krohn"						"Montréal (Québec), Canada : GERAD, HÉC Montréal"	eng			"Les cahiers du GERAD"	(DE-627)1700394924|(DE-600)3026340-2										https://www.gerad.ca/fr/papers/G-2022-48.pdf|https://www.gerad.ca/fr/papers/G-2022-48	11159/17					
1830129503	m	2022	"Quantifying the impact of scenario tree generation methods on the solution of the short-term hydroscheduling problem"							"Daadaa, Maissa|Séguin, Sara|Anjos, Miguel F.|Demeester, Kenjy"						"Montréal (Québec), Canada : GERAD, HÉC Montréal"	eng			"Les cahiers du GERAD"	(DE-627)1700394924|(DE-600)3026340-2										https://www.gerad.ca/fr/papers/G-2022-47.pdf|https://www.gerad.ca/fr/papers/G-2022-47	11159/17					
1830129457	m	2022	"Erratum, counterexample and an additional revealing poll step for a result of ""Analysis of direct searches for discontinuous functions"""							"Audet, Charles|Bouchet, Pierre-Yves|Bourdin, Loïc"						"Montréal (Québec), Canada : GERAD, HÉC Montréal"	eng			"Les cahiers du GERAD"	(DE-627)1700394924|(DE-600)3026340-2										https://www.gerad.ca/fr/papers/G-2022-56.pdf	11159/17					
183012935X	m	2022	"Multi-attribute two-echelon location routing : formulation and dynamic discretization discovery approach"							"Escobar-Vargas, David|Crainic, Teodor Gabriel"						"Montréal (Québec) : Bureau de Montreal, Université de Montreal"	eng			CIRRELT	(DE-627)1685877397|(DE-600)3003614-8										https://www.cirrelt.ca/documentstravail/cirrelt-2022-37.pdf	11159/17					
